 9780470059029 ,false
 4780470059029 ,false
 9780471486480 ,true
 9780596809485 ,false
 9780131495050 ,true
 9780262134729 ,false
 7465905 ,false
 00000000 ,true
 79870227896222 ,false
 0471958697 ,true
 0471606952 ,true
 0470845252 ,true
 0321146530 ,true
 877195869x ,true
 877195x869 ,false
"",false
 877195869xx ,false
 877195@869x ,false
1,2
1,2
9999999999994,true
 9780470059029 ,false
 4780470059029 ,false
 9780471486480 ,true
 9780596809485 ,false
 9780131495050 ,true
 9780262134729 ,false
 7465905 ,false
 00000000 ,true
 79870227896222 ,false
 0471958697 ,true
 0471606952 ,true
 0470845252 ,true
 0321146530 ,true
 877195869x ,true
 877195x869 ,false
"",false
 877195869xx ,false
 877195@869x ,false
11111111111111111111111111,false
xxxxxxxxxxxxx,false
0000000000,false
391230129312,false
9999999999994,true
" 9780470059029 ,  ",false
" 4780470059029 ,  ",false
" 9780471486480 ,  ",false
" 9780596809485 ,  ",false
" 9780131495050 ,  ",false
" 9780262134729 ,  ",false
" 7465905 ,  ",false
" 00000000 ,  ",false
" 79870227896222 ,  ",false
" 0471958697 ,  ",false
" 0471606952 ,  ",false
" 0470845252 ,  ",false
" 0321146530 ,  ",false
" 877195869x ,  ",false
" 877195x869 ,  ",false
"  ,  ",false
" 877195869xx ,  ",false
" 877195@869x ,  ",false
" 1 , 2 ",false
" 1 , 2 ",false
" 9999999999994 ,  ",false
" 9780470059029 ,  ",false
" 4780470059029 ,  ",false
" 9780471486480 ,  ",false
" 9780596809485 ,  ",false
" 9780131495050 ,  ",false
" 9780262134729 ,  ",false
" 7465905 ,  ",false
" 00000000 ,  ",false
" 79870227896222 ,  ",false
" 0471958697 ,  ",false
" 0471606952 ,  ",false
" 0470845252 ,  ",false
" 0321146530 ,  ",false
" 877195869x ,  ",false
" 877195x869 ,  ",false
"  ,  ",false
" 877195869xx ,  ",false
" 877195@869x ,  ",false
" 11111111111111111111111111 ,  ",false
" xxxxxxxxxxxxx ,  ",false
" 0000000000 ,  ",false
" 391230129312 ,  ",false
" 9999999999994 ,  ",false
9999999999994,true
9999999999994,true
9999999999995,false
